ImageID,Shapley_value
00000468_032.png,4.788258593180217e-06
00026848_009.png,2.4648752514622174e-06
00006492_005.png,4.276358595234342e-06
00007322_022.png,4.716330295195803e-06
00020277_001.png,1.130070086219348e-05
00016755_000.png,9.820634659263305e-06
00013083_000.png,7.82997904025251e-06
00011441_002.png,1.0489246051292866e-05
00020060_001.png,7.695005479035899e-06
00026099_015.png,1.1000717677234206e-05
00016414_001.png,4.937903668178478e-06
00017077_004.png,1.2211901776026934e-05
00020115_000.png,6.50056472295546e-06
00003204_001.png,1.7188285710290074e-05
00011932_004.png,1.6041969502111897e-05
00009434_001.png,5.202091415412724e-06
00013108_000.png,9.010180292534642e-06
00013616_023.png,8.235787390731275e-06
00021700_001.png,1.615647488506511e-05
00011702_045.png,1.1616726624197327e-05
00014278_000.png,2.5440285753575154e-05
00023075_032.png,7.30673400539672e-06
00027211_007.png,1.4974918485677335e-05
00026963_030.png,8.721184713067487e-06
00002192_000.png,1.6098472769954242e-05
00007712_000.png,1.1236716090934351e-05
00014888_006.png,1.016938858811045e-05
00007691_002.png,3.4907579902210273e-06
00019210_003.png,3.07782033814874e-06
00025959_000.png,5.687493285222445e-06
00028844_019.png,6.064248282200424e-06
00015530_139.png,6.351525371428579e-06
00011420_016.png,7.237405498017324e-06
00018765_007.png,4.866442395723425e-06
00014372_000.png,1.7198139175889082e-05
00010247_001.png,8.04513183538802e-06
00012750_002.png,1.1740904483303893e-05
00008620_003.png,9.371202395414002e-06
00013229_009.png,1.4917605767550413e-05
00018091_017.png,1.1633394024102017e-05
00020620_000.png,1.6367261196137406e-05
00008922_006.png,7.128920969989849e-06
00013750_026.png,2.2384467229130678e-05
00023299_000.png,7.864297003834508e-06
00030162_025.png,3.0746041375095956e-06
00004480_001.png,1.0376069440098945e-05
00010790_021.png,8.184974831237923e-06
00025691_000.png,1.970620360225439e-06
00012834_113.png,-4.014859769085888e-06
00015809_020.png,8.372780030185822e-06
00015212_005.png,1.5160109796852339e-05
00002025_000.png,2.949542476926581e-06
00025839_003.png,9.451609912503045e-06
00000032_049.png,1.3752897757512983e-05
00019169_012.png,6.225619472388644e-06
00005176_010.png,1.1208596333744936e-05
00021571_002.png,3.2059037948783953e-06
00003791_000.png,1.538665128464345e-05
00010725_000.png,1.7609447695576819e-06
00006703_009.png,9.994897482101806e-06
00003300_007.png,-1.594365926393948e-06
00015530_155.png,6.080949788156431e-06
00000764_001.png,1.1622455531323794e-05
00014006_018.png,1.7076770745916292e-05
00019825_017.png,4.595982773025753e-06
00011237_004.png,1.2879858331871219e-05
00006304_055.png,1.3144522199581843e-05
00029991_005.png,7.666236342629418e-06
00014650_001.png,3.832254151348025e-06
00012094_039.png,3.781317445827881e-06
00004990_000.png,1.0032526915892959e-05
00012834_133.png,4.791037554241484e-06
00013111_098.png,1.7418740753782913e-05
00016802_007.png,1.4525483493343927e-05
00016332_001.png,1.162019088951638e-05
00027817_003.png,2.0774091353814583e-06
00018484_001.png,1.6816816241771448e-06
00022243_000.png,4.393556537252152e-06
00011997_009.png,1.1706516488629859e-05
00015020_000.png,1.4045042007637676e-05
00028069_003.png,4.5399942791846115e-06
00010479_012.png,1.2764952771249227e-05
00020085_018.png,1.4350040146382526e-05
00018853_004.png,7.143334642023547e-06
00004148_004.png,8.057405466388445e-06
00002509_001.png,7.425284366036067e-06
00020437_008.png,2.842159346982953e-06
00019102_001.png,2.4176458737201756e-06
00006535_005.png,1.4299980648502242e-05
00011679_010.png,-5.3051585382490885e-06
00028876_062.png,2.1891883079661056e-06
00008841_028.png,5.956821496511111e-06
00017989_002.png,8.213211913243867e-06
00027331_000.png,7.1425338319386356e-06
00005592_001.png,3.7409658943943214e-06
00028509_032.png,1.814368624764029e-05
00025429_000.png,1.3364979167818092e-05
00007064_002.png,5.4705901675333735e-06
00004953_000.png,8.949182301876135e-06
00017044_017.png,4.1348803279106505e-06
00029328_003.png,2.0506628061411902e-05
00009869_000.png,5.610884727502707e-06
00000127_002.png,8.832800631353166e-06
00008598_004.png,3.2637867661833297e-06
00016063_000.png,2.3635511752218008e-05
