ImageID,Shapley_value
00026282_001.png,1.658602286624955e-06
00016350_007.png,2.5154011382255703e-05
00016986_005.png,7.530072252848186e-06
00028523_025.png,1.09520833575516e-05
00026161_001.png,1.0948304407065734e-05
00014332_009.png,-5.513529231393477e-06
00019594_028.png,1.567923027323559e-05
00001256_007.png,1.2855306522396859e-05
00027359_007.png,-2.335046929147211e-06
00001067_000.png,1.2844880075135734e-05
00026565_001.png,1.5121060641831718e-05
00003785_003.png,5.928263362875441e-06
00026972_000.png,2.3140752091421746e-05
00018492_003.png,1.3049339031567797e-05
00022585_000.png,1.6010704939617426e-06
00026480_006.png,1.4506407751468942e-05
00014332_011.png,2.792060695355758e-05
00017126_002.png,2.3342727217823267e-06
00009786_001.png,9.487634088145569e-06
00015606_019.png,-2.6408133635413833e-05
00009545_002.png,1.115303166443482e-05
00004390_000.png,1.5195914784271736e-05
00012992_000.png,1.7988053514272906e-05
00006185_002.png,2.074595249723643e-05
00010367_014.png,2.0166184185654856e-05
00011987_011.png,-8.408886787947267e-05
00018483_000.png,5.016672275814926e-06
00002952_003.png,8.214150511776097e-06
00019201_008.png,5.84655890634167e-06
00021930_000.png,-1.3063257711110055e-06
00018019_001.png,2.189090446336195e-05
00024976_001.png,2.877066208384349e-06
00024288_000.png,4.01558427256532e-05
00012025_000.png,5.071929990663193e-05
00011877_000.png,7.1022845986590255e-06
00009594_005.png,4.608112431014888e-05
00000016_000.png,1.8012086002272554e-05
00030410_000.png,6.394870979420375e-06
00009638_008.png,3.378674591658637e-05
00000294_000.png,2.853730904917029e-07
00011874_003.png,5.480892468767706e-06
00030682_000.png,6.388098427123623e-06
00003156_003.png,1.352186063741101e-05
00003504_002.png,8.499027899233624e-06
00016220_000.png,-7.897381237853551e-08
00012222_000.png,4.009809345006943e-06
00007649_001.png,-8.868965960573405e-05
00022519_002.png,-1.0048237299997709e-06
00005573_001.png,1.4824317986494862e-06
00027887_000.png,3.8365647924365476e-05
00009302_004.png,2.8282851417316124e-05
00013408_013.png,3.1209538065013476e-06
00027553_000.png,1.8535564549893024e-06
00023237_000.png,3.132153142360039e-05
00018254_009.png,-3.888632636517286e-05
00022065_010.png,-1.5790479665156454e-05
00003220_003.png,3.3644023460510653e-06
00025381_002.png,2.2020120013621636e-05
00011664_004.png,1.9097024051006883e-05
00001672_001.png,-2.459396228005062e-06
00004001_000.png,2.9696862839045934e-05
00002111_014.png,-1.030913495014829e-06
00006697_006.png,7.402593837468885e-06
00021916_005.png,5.163187324797036e-06
00004034_009.png,9.83025749690114e-09
00007862_007.png,4.531762442638865e-06
00027894_007.png,2.8928843676112592e-05
00013342_001.png,1.0423388630442787e-05
00011679_004.png,2.0081781258340925e-05
00024433_000.png,-1.05561446162028e-06
00019289_000.png,-5.067824895377271e-05
00014934_004.png,2.0775882148882374e-05
00001634_010.png,1.3858668353350367e-05
00010790_028.png,9.036657502292655e-06
00000108_000.png,-4.309051291784272e-06
00003013_015.png,1.4629431461798958e-05
00027497_000.png,-5.977637101750588e-06
00019707_006.png,1.1912186892004684e-05
00016289_000.png,2.2021467884769663e-05
00004006_062.png,9.808542927203234e-06
00000277_000.png,7.080496288836002e-06
00012266_001.png,-1.4111484233580995e-05
00020294_010.png,1.0129192560270894e-05
00020592_000.png,-2.2032927518012002e-05
00009595_001.png,6.732759175065439e-06
00016122_006.png,4.17295404986362e-06
00017858_001.png,-1.933798330355785e-06
00007526_021.png,2.1486768673639745e-05
00006542_001.png,-2.2719326807418838e-05
00021255_008.png,2.9015171094215475e-05
00005000_004.png,-6.9042134782648645e-06
00015965_003.png,2.5209414161508903e-05
00000929_001.png,1.263884087165934e-06
00022444_002.png,1.4837372646070435e-06
00021682_004.png,-1.7793583538150415e-05
00019897_001.png,1.4537175047735218e-05
00006038_001.png,8.312895261042286e-06
00016796_001.png,5.073223746876465e-06
00019721_002.png,1.6007757949410006e-05
00005197_001.png,1.1861236998811364e-05
00027689_000.png,2.4867626052582636e-05
00009894_000.png,6.68285065330565e-05
00007023_000.png,2.2224962776817847e-06
00000877_033.png,5.034906280343421e-06
00008888_003.png,1.3532810953620356e-05
00000627_033.png,-2.7374449928174727e-05
00001342_001.png,1.2259764616828761e-06
00022526_013.png,2.1181062038522214e-05
00000981_002.png,1.2682699889410287e-05
00016185_002.png,1.0757888048829045e-05
00013066_000.png,1.574286761751864e-05
00004920_002.png,3.1030638183437986e-06
00008595_000.png,2.1646123059326783e-05
00015556_002.png,-2.1533911365168024e-07
00021182_000.png,4.4838839130534325e-06
00013057_000.png,3.9501217543147504e-05
00021648_004.png,-3.577596771719982e-06
00001104_007.png,6.863350336061558e-06
00011885_010.png,-3.7907254863966955e-06
00023447_000.png,7.281749731191667e-06
00025907_000.png,3.484784974716604e-05
00004556_003.png,2.3488637452828698e-05
00025713_001.png,4.633092976291664e-05
00000250_000.png,3.8574449717998505e-05
00027725_068.png,2.966362990264315e-05
00014768_002.png,7.254021511471365e-06
00028890_011.png,1.7445623598177917e-05
00010634_004.png,2.1667214241460897e-05
00017262_003.png,-1.4015668966749217e-05
00011436_007.png,9.231029252987355e-06
00006697_001.png,2.2535383322974667e-05
00018382_006.png,1.7350883354083635e-05
00027847_001.png,1.4064647984923795e-05
00011315_001.png,6.857147582195466e-06
00016911_000.png,-2.316334575880319e-05
00010389_001.png,-4.452392659004545e-06
00006173_001.png,1.493715444667032e-06
