ImageID,OT_value,OT_similarity,OT_row_cost
BraTS-GLI-00160-000.npz,0.8743987679481506,0.8743987679481506,0.004678499419242144
BraTS-GLI-00162-000.npz,0.5818458199501038,0.5818458199501038,0.007258175406605005
BraTS-GLI-00165-000.npz,0.48220908641815186,0.48220908641815186,0.008136752992868423
BraTS-GLI-00166-000.npz,0.8976460099220276,0.8976460099220276,0.004473509732633829
BraTS-GLI-00167-000.npz,0.9574078917503357,0.9574078917503357,0.003946540877223015
BraTS-GLI-00170-000.npz,0.4795910716056824,0.4795910716056824,0.008159838616847992
BraTS-GLI-00172-000.npz,0.5357922315597534,0.5357922315597534,0.007664266973733902
BraTS-GLI-00177-000.npz,0.5983690619468689,0.5983690619468689,0.007112476509064436
BraTS-GLI-00178-000.npz,0.42646360397338867,0.42646360397338867,0.008628305979073048
BraTS-GLI-00183-000.npz,0.608722448348999,0.608722448348999,0.007021182216703892
BraTS-GLI-00184-000.npz,0.48026275634765625,0.48026275634765625,0.008153915405273438
BraTS-GLI-00185-000.npz,0.9178304672241211,0.9178304672241211,0.0042955270037055016
BraTS-GLI-00186-000.npz,0.3271408677101135,0.3271408677101135,0.009504115208983421
BraTS-GLI-00187-000.npz,0.7207804322242737,0.7207804322242737,0.00603307643905282
BraTS-GLI-00192-000.npz,0.8383674621582031,0.8383674621582031,0.004996216390281916
BraTS-GLI-00193-000.npz,0.8324023485183716,0.8324023485183716,0.005048816092312336
BraTS-GLI-00194-000.npz,0.6390964984893799,0.6390964984893799,0.006753349676728249
BraTS-GLI-00196-000.npz,0.4967297315597534,0.4967297315597534,0.008008712902665138
BraTS-GLI-00201-000.npz,0.5253921747207642,0.5253921747207642,0.0077559733763337135
BraTS-GLI-00203-000.npz,0.48028790950775146,0.48028790950775146,0.008153693750500679
BraTS-GLI-00204-000.npz,0.9786794781684875,0.9786794781684875,0.00375897204503417
BraTS-GLI-00209-000.npz,0.43808120489120483,0.43808120489120483,0.008525864221155643
BraTS-GLI-00212-000.npz,0.9913120865821838,0.9913120865821838,0.0036475802771747112
BraTS-GLI-00217-000.npz,0.6110208034515381,0.6110208034515381,0.007000916171818972
BraTS-GLI-00218-000.npz,0.19842660427093506,0.19842660427093506,0.01063909288495779
BraTS-GLI-00219-000.npz,0.9231038093566895,0.9231038093566895,0.0042490279302001
BraTS-GLI-00220-000.npz,0.5990515351295471,0.5990515351295471,0.007106458768248558
BraTS-GLI-00221-000.npz,0.8096061944961548,0.8096061944961548,0.0052498276345431805
BraTS-GLI-00222-000.npz,0.3768499493598938,0.3768499493598938,0.009065790101885796
BraTS-GLI-00227-000.npz,0.41460978984832764,0.41460978984832764,0.008732831105589867
BraTS-GLI-00230-000.npz,0.542693018913269,0.542693018913269,0.007603416685014963
BraTS-GLI-00234-000.npz,0.42750483751296997,0.42750483751296997,0.008619125001132488
BraTS-GLI-00236-000.npz,0.9010729789733887,0.9010729789733887,0.004443291574716568
BraTS-GLI-00238-000.npz,0.664827823638916,0.664827823638916,0.006526455748826265
BraTS-GLI-00240-000.npz,0.8291190266609192,0.8291190266609192,0.00507776765152812
BraTS-GLI-00241-000.npz,0.5479663610458374,0.5479663610458374,0.007556918077170849
BraTS-GLI-00242-000.npz,0.519004225730896,0.519004225730896,0.007812300696969032
BraTS-GLI-00243-000.npz,0.5464416742324829,0.5464416742324829,0.007570362649857998
BraTS-GLI-00246-000.npz,0.46952730417251587,0.46952730417251587,0.008248578757047653
BraTS-GLI-00247-000.npz,0.3383082151412964,0.3383082151412964,0.009405643679201603
BraTS-GLI-00249-000.npz,0.4729804992675781,0.4729804992675781,0.0082181291654706
BraTS-GLI-00250-000.npz,0.48378074169158936,0.48378074169158936,0.008122894912958145
BraTS-GLI-00251-000.npz,0.4509419798851013,0.4509419798851013,0.008412460796535015
BraTS-GLI-00253-000.npz,0.676337718963623,0.676337718963623,0.006424963474273682
BraTS-GLI-00259-000.npz,0.5208737850189209,0.5208737850189209,0.007795815356075764
